study_version,threshold_policy,window_days,entries_per_day,positive_group,n_positive,n_negative,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,f1_ci_low,f1_ci_high,recall_ci_low,recall_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,auroc,auroc_ci_low,auroc_ci_high,auroc_deviation_only,auroc_rules_only,auroc_temporal_shift_only,mean_temporal_shift_positive,mean_temporal_shift_negative,not_enough_data_rate,baseline_mean_error_in_sd,baseline_mean_error_ci_low,baseline_mean_error_ci_high,baseline_std_relative_error,oracle_f1_in_hindsight,oracle_threshold_in_hindsight
data-sufficiency-1,fpr_controlled,1,1,shift_moderate,120,120,4.5285,89,52,31,68,0.6312056737588653,0.7416666666666667,0.681992337164751,0.43333333333333335,0.615985,0.743803,0.656715,0.811626,0.348102,0.522701,0.6766666666666666,0.614981,0.737695,0.7009375,0.7074652777777778,0.5771875,2.42,2.2020833333333334,0.0,0.7695909625000001,0.741563,0.797276,0.9719149999999996,0.709677,3.4175
data-sufficiency-1,fpr_controlled,1,1,shift_large,120,120,4.5285,101,52,19,68,0.6601307189542484,0.8416666666666667,0.7399267399267399,0.43333333333333335,0.681156,0.795987,0.765907,0.89623,0.348102,0.522701,0.7451388888888889,0.690794,0.797039,0.8131597222222222,0.8937152777777778,0.6240277777777777,2.5324999999999998,2.2020833333333334,0.0,0.7849958541666667,0.759187,0.811429,0.9719149999999996,0.766551,3.7865
data-sufficiency-1,fpr_controlled,1,1,all_shift,240,120,4.5285,190,52,50,68,0.7851239669421488,0.7916666666666666,0.7883817427385892,0.43333333333333335,0.746328,0.827738,0.735892,0.838252,0.348102,0.522701,0.7109027777777778,0.657438,0.762332,0.7570486111111111,0.8005902777777778,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.7806802111111111,0.758739,0.80377,0.9719149999999998,0.825758,3.0585
data-sufficiency-1,fpr_controlled,1,3,shift_moderate,120,120,4.5285,102,64,18,56,0.6144578313253012,0.85,0.7132867132867132,0.5333333333333333,0.648079,0.77171,0.775325,0.902962,0.444428,0.620171,0.6677083333333333,0.611804,0.726374,0.7407638888888889,0.8232291666666667,0.5202083333333334,2.3879166666666665,2.32,0.0,0.8334732083333333,0.80581,0.862037,0.9734079999999996,0.731034,4.0575
data-sufficiency-1,fpr_controlled,1,3,shift_large,120,120,4.5285,117,64,3,56,0.6464088397790055,0.975,0.7774086378737541,0.5333333333333333,0.72026,0.827166,0.92907,0.991462,0.444428,0.620171,0.7339583333333334,0.687296,0.781896,0.9057638888888889,0.9575,0.5663888888888889,2.5262499999999997,2.32,0.0,0.8337378958333334,0.806444,0.86082,0.9734079999999996,0.785479,3.9515
data-sufficiency-1,fpr_controlled,1,3,all_shift,240,120,4.5285,219,64,21,56,0.773851590106007,0.9125,0.8374760994263862,0.5333333333333333,0.803959,0.868893,0.869945,0.942058,0.444428,0.620171,0.7008333333333333,0.652272,0.749225,0.8232638888888889,0.8903645833333333,0.5432986111111111,2.457083333333333,2.32,0.0,0.8315779944444444,0.808656,0.853167,0.9734079999999998,0.850662,3.9515
data-sufficiency-1,fpr_controlled,1,5,shift_moderate,120,120,4.5285,108,73,12,47,0.5966850828729282,0.9,0.717607973421927,0.6083333333333333,0.654676,0.769242,0.833318,0.941866,0.518938,0.691008,0.6807638888888888,0.625699,0.732648,0.8148611111111111,0.8595833333333334,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.8056850583333334,0.777315,0.835279,0.9698460000000003,0.736156,3.88
data-sufficiency-1,fpr_controlled,1,5,shift_large,120,120,4.5285,120,73,0,47,0.6217616580310881,1.0,0.7667731629392971,0.6083333333333333,0.714286,0.814377,0.968981,1.0,0.518938,0.691008,0.7291666666666666,0.683962,0.776329,0.9820833333333333,0.9537847222222222,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.8103989333333333,0.779715,0.841371,0.9698460000000003,0.786885,9.9385
data-sufficiency-1,fpr_controlled,1,5,all_shift,240,120,4.5285,228,73,12,47,0.7574750830564784,0.95,0.8428835489833643,0.6083333333333333,0.808349,0.873148,0.914652,0.97117,0.518938,0.691008,0.7049652777777777,0.657124,0.753737,0.8984722222222222,0.9066840277777778,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.8154248083333332,0.791144,0.83849,0.9698460000000002,0.85192,3.88
data-sufficiency-1,fpr_controlled,3,1,shift_moderate,120,120,4.5285,66,41,54,79,0.616822429906542,0.55,0.5814977973568282,0.3416666666666667,0.50717,0.65605,0.460815,0.636083,0.262904,0.430252,0.6419791666666667,0.570533,0.708456,0.6675347222222222,0.7096527777777778,0.5771875,2.42,2.2020833333333334,0.0,0.4669906791666667,0.451709,0.483457,0.5228650083333334,0.684685,1.973
data-sufficiency-1,fpr_controlled,3,1,shift_large,120,120,4.5285,99,41,21,79,0.7071428571428572,0.825,0.7615384615384616,0.3416666666666667,0.699542,0.816487,0.747243,0.882595,0.262904,0.430252,0.7757986111111111,0.720092,0.830043,0.8061458333333333,0.8935069444444445,0.6240277777777777,2.5324999999999998,2.2020833333333334,0.0,0.4842126583333333,0.469372,0.5008,0.5378662375,0.802867,3.6475
data-sufficiency-1,fpr_controlled,3,1,all_shift,240,120,4.5285,165,41,75,79,0.8009708737864077,0.6875,0.7399103139013453,0.3416666666666667,0.690472,0.782422,0.626294,0.742799,0.262904,0.430252,0.7088888888888889,0.653336,0.765795,0.7368402777777778,0.8015798611111111,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.47486420833333337,0.462195,0.488124,0.5289971833333333,0.814815,3.568
data-sufficiency-1,fpr_controlled,3,3,shift_moderate,120,120,4.5285,88,34,32,86,0.7213114754098361,0.7333333333333333,0.7272727272727273,0.2833333333333333,0.661017,0.786288,0.647876,0.804315,0.210406,0.369702,0.7684027777777778,0.706003,0.826343,0.7705208333333333,0.8427083333333333,0.5202083333333334,2.3879166666666665,2.32,0.0,0.4581398666666667,0.441361,0.47579,0.41955193749999997,0.753036,4.389
data-sufficiency-1,fpr_controlled,3,3,shift_large,120,120,4.5285,119,34,1,86,0.7777777777777778,0.9916666666666667,0.8717948717948719,0.2833333333333333,0.828346,0.911663,0.954304,0.998527,0.210406,0.369702,0.886875,0.840623,0.927834,0.9039930555555555,0.9790277777777778,0.5663888888888889,2.5262499999999997,2.32,0.0,0.47861842499999996,0.45984,0.497845,0.4307494833333333,0.888889,5.297
data-sufficiency-1,fpr_controlled,3,3,all_shift,240,120,4.5285,207,34,33,86,0.8589211618257261,0.8625,0.8607068607068608,0.2833333333333333,0.825112,0.891521,0.81319,0.900389,0.210406,0.369702,0.8276388888888889,0.781854,0.87364,0.8372569444444444,0.9108680555555555,0.5432986111111111,2.457083333333333,2.32,0.0,0.4672372472222223,0.452857,0.4821,0.42669868055555554,0.872428,4.389
data-sufficiency-1,fpr_controlled,3,5,shift_moderate,120,120,4.5285,99,29,21,91,0.7734375,0.825,0.7983870967741935,0.24166666666666667,0.741063,0.850216,0.747243,0.882595,0.173858,0.325501,0.8425,0.786282,0.894144,0.8289930555555556,0.8847222222222222,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.4615967791666667,0.445743,0.477536,0.4179215041666667,0.830189,3.961
data-sufficiency-1,fpr_controlled,3,5,shift_large,120,120,4.5285,120,29,0,91,0.8053691275167785,1.0,0.8921933085501859,0.24166666666666667,0.848978,0.929368,0.968981,1.0,0.173858,0.325501,0.9167361111111111,0.875794,0.953149,0.9038541666666666,0.9693402777777778,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.4613502541666667,0.4444,0.478201,0.4108836083333333,0.933333,6.419
data-sufficiency-1,fpr_controlled,3,5,all_shift,240,120,4.5285,219,29,21,91,0.8830645161290323,0.9125,0.8975409836065574,0.24166666666666667,0.86864,0.924304,0.869945,0.942058,0.173858,0.325501,0.8796180555555555,0.831494,0.922784,0.8664236111111111,0.92703125,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.459285525,0.445866,0.472876,0.4131709111111111,0.910891,3.961
